Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
58;Broomé, Catharina, Katolicismen 1993;  Vimmerby - Vuxen; ;;Ck;;1998-04-06;2015-03-25;20300490884;39
59;Brown, Ann, Se kvinnan 1994;  Vimmerby - Vuxen; ;;Cc;;1998-04-06;;20470450884;31
60;Buruma, Ian, Att tämja gudarna 2010;  Vimmerby - Vuxen; ;;Cm;;2010-06-09;;80041443988;6
61;Buxton, Richard, Den grekiska mytologins värld 2007;  Vimmerby - Vuxen; ;;Cmg;;2007-04-04;2015-04-06;21713440884;18
62;Byström Janarv, Görel, Religiösa profiler 1997;  Vimmerby - Vuxen; ;;Cm;;2011-11-14;;89004784726;37
63;Bæksted, Anders, Gudar och hjältar i Norden 1970;  Vimmerby - Vuxen; ;;Cmi;;1998-04-06;;20471710884;48
64;Bärtås, Magnus, Innanför cirkeln 2005;  Vimmerby - Vuxen; ;;Cm;;2006-02-20;;89017665226;9
65;Bönbok för sörjande 1997;  Vimmerby - Vuxen; ;;Ci;;1998-04-06;;89005458191;2
66;Carls, Rainer, Om tro och vetande 2001;  Vimmerby - Vuxen; ;;Ce;;2002-05-28;;20883740884;11
67;Carlsson, Bo Göran, Religion, kultur och manlig homosexualitet 2000;  Vimmerby - Vuxen; ;;Cm;;2001-05-04;;21055360884;9
68;Carlsson, Olle, Just idag 2014;  Vimmerby - Vuxen; ;;Ci;;2015-02-26;2015-03-31;52785590045;1
69;Carlsson, Olle, Kristendom för ateister 2007;  Vimmerby - Vuxen; ;;Ce;;2008-01-16;;80036184727;25
70;Clément, Olivier, Taizé - att ge livet en mening 1998;  Vimmerby - Vuxen; ;;Ci;;1998-07-06;;21222450884;22
71;Dahl, Per Arne, Något att hoppas på 2012;  Vimmerby - Vuxen; ;;Ci;;2015-01-08;;51200370081;0
72;Dalai Lama, Etik för ett nytt millennium 2000;  Vimmerby - Vuxen; ;;Cme;;2002-03-21;;20874070884;41
73;Dalai Lama, Ett meningsfullt liv 2002;  Vimmerby - Vuxen; ;;Cme;;2006-03-03;;20990740884;41
74;Dalai Lama, Ett öppet hjärta 2005;  Vimmerby - Vuxen; ;;Cme;;2005-04-19;;21607890884;10
75;Dalai Lama, Fri i exilen 1991;  Vimmerby - Vuxen; ;;Cme;;1998-04-06;;20471660884;39
76;Dalai Lama, Vishetens öga 1990;  Vimmerby - Vuxen; ;;Cme;;1998-04-06;;20471650884;51
77;Dan, Joseph, Kabbala 2007;  Vimmerby - Vuxen; ;;Cmd;;2008-03-04;;21740690884;7
78;Daodejing 1991;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;20470770884;56
79;Daodejing 2008;  Vimmerby - Vuxen; ;;Cm;;2009-02-16;;21781490884;0
80;David-Néel, Alexandra, Bland mystiker och magiker i Tibet 1988;  Vimmerby - Vuxen; ;;Cme;;1998-04-06;;20471830884;23
81;Dawkins, Richard, Illusionen om Gud 2007;  Vimmerby - Vuxen; ;;C;;2008-05-23;2015-03-25;21750660884;28
82;De Botton, Alain, Religion för ateister 2012;  Vimmerby - Vuxen; ;;C;;2013-03-28;2015-03-23;80047024069;26
83;De kristna 1980;  Vimmerby - Vuxen; ;;Cj;;1998-04-06;;20471790884;20
84;De Lange, Nicholas, Judendomen 1988;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20471820884;49
85;Den muslimske Jesus 2002;  Vimmerby - Vuxen; ;;Cmd;;2003-06-04;;21323600884;6
86;Den svenska psalmboken 1986;  Vimmerby - Vuxen; ;;Ci;;1998-04-06;;20242230884;22
87;Den svenska psalmboken med tillägg 2005;  Vimmerby - Vuxen; ;;Ci;;2011-09-28;;47378050034;1
88;Det mångreligiösa Sverige 2005;  Vimmerby - Vuxen; ;;Cm;;2005-05-04;;21609350884;20
89;Diehl, Anita, Vad är religion? 1991;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;20471810884;82
90;Donin, Chaim Halevy, Att vara jude 1985;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20471800884;53
91;Drury, Nevill, Shamanism 1996;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;20255730884;58
92;Duffy, Eamon, Helgon och syndare 2002;  Vimmerby - Vuxen; ;;Ck;;2002-08-07;;20978960884;3
93;Efraim Syriern, Hymnerna om paradiset 1985;  Vimmerby - Vuxen; ;;Cd;;2010-05-03;;80041463858;2
94;Eggehorn, Ylva, Kryddad olja 2005;  Vimmerby - Vuxen; ;;Cc;;2006-03-02;;21632890884;2
95;Eggehorn, Ylva, Leva av källan 1999;  Vimmerby - Vuxen; ;;Ci;;1999-11-25;;21273170884;17
96;Einhorn, Lena, Vad hände på vägen till Damaskus? 2006;  Vimmerby - Vuxen; ;;Cc;;2006-09-14;;21642770884;19
97;Einhorn, Stefan, En dold Gud 1999;  Vimmerby - Vuxen; ;;C;;2002-01-31;2015-04-04;20868940884;47
98;Eklund, Stig, Har kyrkan en framtid? 2003;  Vimmerby - Vuxen; ;;Cg;;2003-05-27;;21322320884;7
99;Eldebo, Runar, Kristen i landet lagom 1999;  Vimmerby - Vuxen; ;;Ce;;1999-08-06;;21266670884;10
100;Eliade, Mircea, Myten om den eviga återkomsten 2002;  Vimmerby - Vuxen; ;;Cm;;2003-06-19;;21325840884;9
101;En god död 2000;  Vimmerby - Vuxen; ;;Cf;;2000-04-05;;20831840884;17
102;Enoksen, Lars Magnar, Djur och natur i fornnordisk mytologi 2006;  Vimmerby - Vuxen; ;;Cmi;;2006-05-15;;21637250884;5
103;Enoksen, Lars Magnar, Fornnordisk mytologi enligt Eddans lärdomsdikter 2000;  Vimmerby - Vuxen; ;;Cmi;;2000-08-25;;21032460884;38
104;Ericsson, Marie, Kom och se 2011;  Vimmerby - Vuxen; ;;Cme;;2012-08-28;;80041467797;0
105;Eriksson, Jörgen I., Var tids noaidi 2009;  Vimmerby - Vuxen; ;;Cm;;2011-05-18;;80041465872;1
106;Eriksson, Thérèse, Möt mig som jag är 2014;  Vimmerby - Vuxen; ;;Cg;;2014-09-03;;52435520025;1
107;Erman, Bengt, Begravningsskick 2000;  Vimmerby - Vuxen; ;;Cm;;2000-05-06;;21024860884;9
108;Esposito, John L., Islam 2011;  Vimmerby - Vuxen; ;;Cmd;;2012-02-21;;51134430077;10
