Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
90;Eliade, Mircea, Myten om den eviga återkomsten 2002;  Vimmerby - Vuxen; ;;Cm;;2003-06-19;;21325840884;9
91;En god död 2000;  Vimmerby - Vuxen; ;;Cf;;2000-04-05;;20831840884;17
92;Enoksen, Lars Magnar, Djur och natur i fornnordisk mytologi 2006;  Vimmerby - Vuxen; ;;Cmi;;2006-05-15;;21637250884;5
93;Enoksen, Lars Magnar, Fornnordisk mytologi enligt Eddans lärdomsdikter 2000;  Vimmerby - Vuxen; ;;Cmi;;2000-08-25;;21032460884;38
94;Ericsson, Marie, Kom och se 2011;  Vimmerby - Vuxen; ;;Cme;;2012-08-28;;80041467797;0
95;Eriksson, Jörgen I., Var tids noaidi 2009;  Vimmerby - Vuxen; ;;Cm;;2011-05-18;;80041465872;1
96;Eriksson, Thérèse, Möt mig som jag är 2014;  Vimmerby - Vuxen; ;;Cg;;2014-09-03;;52435520025;1
97;Erman, Bengt, Begravningsskick 2000;  Vimmerby - Vuxen; ;;Cm;;2000-05-06;;21024860884;9
98;Esposito, John L., Islam 2011;  Vimmerby - Vuxen; ;;Cmd;;2012-02-21;;51134430077;10
99;Essén, Charlotte, Sektbarn 2008;  Vimmerby - Vuxen; ;;Cks;;2008-06-04;;80037103606;21
100;Farah, Malaka, Okunnighet är människans fiende 2003;  Vimmerby - Vuxen; ;;Cmd;;2003-10-01;;89014746809;4
101;Farah-zén, Koranen är vår väg 1984;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20471350884;38
102;Fazlhashemi, Seyyed Mohammad, Vems islam 2008;  Vimmerby - Vuxen; ;;Cmd;;2010-11-23;;21781440884;1
103;Fjärstedt, Biörn, Evangeliet på andra marker än i väst 2009;  Vimmerby - Vuxen; ;;Ca;;2010-01-25;;21405610884;0
104;Fornberg, Tord, Det trovärdiga vittnet 2004;  Vimmerby - Vuxen; ;;Cc;;2005-05-09;;21609620884;4
105;Fotheringham, Allan, Att hitta hem 2006;  Vimmerby - Vuxen; ;;Cme;;2007-11-21;;89019894347;4
106;Fransson, Tomas, Inte bara kyrkans 2012;  Vimmerby - Vuxen; ;;Cc;;2013-07-01;;80047024496;1
107;Freeman, Eileen Elias, Änglavakt & skyddsänglar 1996;  Vimmerby - Vuxen; ;;Ce;;1998-04-06;;20471290884;74
108;Furuhagen, Hans, Bibeln och arkeologerna 2010;  Vimmerby - Vuxen; ;;Cc;;2010-12-08;;80041447611;3
109;Gardell, Jonas, Om Gud 2003;  Vimmerby - Vuxen; ;;Ce;;2003-04-14;;21316740884;48
110;Gardell, Jonas, Om Jesus 2009;  Vimmerby - Vuxen; ;;Cc;;2009-03-30;;80037123629;32
111;Gardell, Mattias, Bin Ladin i våra hjärtan 2005;  Vimmerby - Vuxen; ;;Cmd;;2005-11-02;;21620100884;6
112;Geels, Antoon, Den religiösa människan 2006;  Vimmerby - Vuxen; ;;C;;2010-12-08;;80041447809;10
113;Geels, Antoon, Kristen mystik. D. 1 2000;  Vimmerby - Vuxen; ;;Ce;;2001-10-03;;20858280884;6
114;Gibran, Kahlil, Jesus människoson 1995;  Vimmerby - Vuxen; ;;Cc;;1998-04-06;;20470410884;28
115;Gibran, Kahlil, Profeten 1977;  Vimmerby - Vuxen; ;;Ci;;1998-04-06;;20470980884;50
116;Goldman, Anita, Guds älskarinnor 2005;  Vimmerby - Vuxen; ;;Cm;;2006-01-20;;21629060884;7
117;Goldman, Anita, Våra bibliska mödrar 1988;  Vimmerby - Vuxen; ;;Cc;;1998-04-06;;20470400884;27
118;Goleman, Daniel, Samtal med Dalai Lama 2003;  Vimmerby - Vuxen; ;;Cme;;2003-11-13;;21337190884;12
119;Granqvist, Hans, Meditation och mystik i Östasien 1995;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;20471520884;30
120;Grayling, A. C., Against all gods 2007;  Vimmerby - Vuxen; ;;C;;2009-05-12;;80039724339;3
121;Grimal, Pierre, Den grekiska mytologin 1993;  Vimmerby - Vuxen; ;;Cmg;;1998-04-06;;20471510884;13
122;Grossman, David, Lejonhonung 2006;  Vimmerby - Vuxen; ;;Cc;;2007-08-24;;21719460884;1
123;Grønbech, Vilhelm, Nordiska myter och sagor 1965;  Vimmerby - Vuxen; ;;Cmi;;1998-04-06;;20471500884;69
124;Gudmundson, Ulla, Påven Benedictus, kyrkan och världen 2010;  Vimmerby - Vuxen; ;;Ck;;2010-12-08;;80041465101;0
125;Gumbricht, Norman, Vem var egentligen Akilles? 2009;  Vimmerby - Vuxen; ;;Cmg(x);;2009-10-22;;49799250080;1
126;Gustafsson Chen, Anna, Taoistiska berättelser 2001;  Vimmerby - Vuxen; ;;Cm;;2001-09-26;;20857840884;8
127;Gustafsson Figueroa, Kerstin, För Guds skull 2007;  Vimmerby - Vuxen; ;;Cmd;;2008-09-17;;21762340884;1
128;Gustafsson, Lars H., Barnet som slumrar 1995;  Vimmerby - Vuxen; ;;Ci;;1998-04-06;;20470990884;21
129;Gällmo, Gunnar, Buddhas liv 1999;  Vimmerby - Vuxen; ;;Cme;;2000-02-07;;21280210884;14
130;Gällmo, Gunnar, Några fakta om forn sed 1998;  Vimmerby - Vuxen; ;;Cmi;;1999-01-19;;21236990884;13
131;Göth, Lennart, Religion 1 för gymnasiet 2012;  Vimmerby - Vuxen; ;;Cm;;2014-01-23;;51286720025;3
132;Hadžibajrić, Fejzullah, Ilmihal 2000;  Vimmerby - Vuxen; ;;Cmd;;2001-02-21;;21047510884;17
133;Hagerman, Maja, I miraklers tid 2003;  Vimmerby - Vuxen; ;;Cj-c;;2003-12-09;;21340360884;10
134;Hallingberg, Gunnar, Läsarna 2010;  Vimmerby - Vuxen; ;;Cj-c;;2011-11-10;;80041466626;0
135;Hammar, Karl Gustav, Tecken och verklighet Samtal om Gud Ecce Homo 2006;  Vimmerby - Vuxen; ;;Ce;;2006-09-05;;89018407032;14
136;Hammer, Olav, Profeter mot strömmen 1999;  Vimmerby - Vuxen; ;;Cn;;2008-08-26;;21269720884;19
137;Harner, Michael, Shamanens väg 1983;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;20471490884;82
138;Hedin, Christer, Abrahams barn 1999;  Vimmerby - Vuxen; ;;Cm;;2000-10-16;;21035650884;37
139;Hedin, Christer, Bibeln och Koranen 2002;  Vimmerby - Vuxen; ;;Cc;;2002-04-22;;20878370884;15
140;Hedin, Christer, Islam i samhället 2001;  Vimmerby - Vuxen; ;;Cmd;;2001-08-16;;21062960884;24
